"","MGI.symbol","HGNC.symbol","Duplicate_HGNC","Duplicate_MGI","One_to_one"
"257","Bex4","BEX4",TRUE,FALSE,FALSE
"258","Sfi1","SFI1",FALSE,FALSE,TRUE
"259","Fbxo15","FBXO15",FALSE,FALSE,TRUE
"260","Ttc39b","TTC39B",FALSE,FALSE,TRUE
"261","Ttc39c","TTC39C",FALSE,FALSE,TRUE
"262","Cerk","CERK",FALSE,FALSE,TRUE
"263","Grp","GRP",FALSE,FALSE,TRUE
"264","Pacsin2","PACSIN2",FALSE,FALSE,TRUE
"265","Glud1","GLUD2",FALSE,TRUE,FALSE
"266","Wasf3","WASF3",FALSE,FALSE,TRUE
"267","Trappc10","TRAPPC10",FALSE,FALSE,TRUE
"268","Il13ra1","IL13RA1",FALSE,FALSE,TRUE
"269","Ufm1","UFM1",FALSE,FALSE,TRUE
"270","Pomp","POMP",FALSE,FALSE,TRUE
"271","Atp9a","ATP9A",FALSE,FALSE,TRUE
"272","Myo5b","MYO5B",FALSE,FALSE,TRUE
"273","Fam83d","FAM83D",FALSE,FALSE,TRUE
"274","Tmem47","TMEM47",FALSE,FALSE,TRUE
"275","Gabrb1","GABRB1",FALSE,FALSE,TRUE
"276","Rfc3","RFC3",FALSE,FALSE,TRUE
"277","Dct","DCT",FALSE,FALSE,TRUE
"278","Mc4r","MC4R",FALSE,FALSE,TRUE
"279","Pcmtd2","PCMTD2",FALSE,FALSE,TRUE
"280","Kdelr3","KDELR3",FALSE,FALSE,TRUE
"281","Ccna1","CCNA1",FALSE,FALSE,TRUE
"282","Fgd1","FGD1",FALSE,FALSE,TRUE
"283","Raly","RALY",FALSE,FALSE,TRUE
"284","Cstb","CSTB",FALSE,FALSE,TRUE
"285","Tomm34","TOMM34",FALSE,FALSE,TRUE
"286","Mzt1","MZT1",FALSE,FALSE,TRUE
"287","Tfe3","TFE3",FALSE,FALSE,TRUE
"288","Crmp1","CRMP1",FALSE,FALSE,TRUE
"289","Asb12","ASB12",FALSE,FALSE,TRUE
"290","Dnajc5","DNAJC5",FALSE,FALSE,TRUE
"291","Itsn1","ITSN1",FALSE,FALSE,TRUE
"292","F8","F8",FALSE,FALSE,TRUE
"293","Prpf39","PRPF39",FALSE,FALSE,TRUE
"294","Srsf5","SRSF5",FALSE,FALSE,TRUE
"295","Apbb2","APBB2",FALSE,FALSE,TRUE
"296","Tmem215","TMEM215",FALSE,FALSE,TRUE
"297","Rgs6","RGS6",FALSE,FALSE,TRUE
"298","Frem2","FREM2",FALSE,FALSE,TRUE
"299","Mc3r","MC3R",FALSE,FALSE,TRUE
"300","Btbd7","BTBD7",FALSE,FALSE,TRUE
"301","Otc","OTC",FALSE,FALSE,TRUE
"302","Ralbp1","RALBP1",FALSE,FALSE,TRUE
"303","Cdh4","CDH4",FALSE,FALSE,TRUE
"304","Hmgn5","HMGN5",FALSE,FALSE,TRUE
"305","Bfsp1","BFSP1",FALSE,FALSE,TRUE
"306","Chst7","CHST7",FALSE,FALSE,TRUE
"307","Icosl","ICOSLG",FALSE,FALSE,TRUE
"308","Rem1","REM1",FALSE,FALSE,TRUE
"309","Sdc4","SDC4",FALSE,FALSE,TRUE
"310","Idua","IDUA",FALSE,FALSE,TRUE
"311","Zcchc13","ZCCHC13",FALSE,FALSE,TRUE
"312","Rnf17","RNF17",FALSE,FALSE,TRUE
"313","Scp2d1","SCP2D1",FALSE,FALSE,TRUE
"314","Med15","MED15",FALSE,FALSE,TRUE
"315","Slc23a2","SLC23A2",FALSE,FALSE,TRUE
"316","Xpnpep3","XPNPEP3",FALSE,FALSE,TRUE
"317","Tasp1","TASP1",FALSE,FALSE,TRUE
"318","Ak3","AK3",FALSE,FALSE,TRUE
"319","Lama5","LAMA5",FALSE,FALSE,TRUE
"320","Ap5m1","AP5M1",FALSE,FALSE,TRUE
"321","Pou4f1","POU4F1",FALSE,FALSE,TRUE
"322","Cct8","CCT8",FALSE,FALSE,TRUE
"323","Pcbp3","PCBP3",FALSE,FALSE,TRUE
"324","Defb15","DEFB127",TRUE,TRUE,FALSE
"325","Defb15","DEFB121",TRUE,TRUE,FALSE
"326","Fancb","FANCB",FALSE,FALSE,TRUE
"327","Rae1","RAE1",FALSE,FALSE,TRUE
"328","Mc2r","MC2R",FALSE,FALSE,TRUE
"329","Tfap2c","TFAP2C",FALSE,FALSE,TRUE
"330","Cnksr2","CNKSR2",FALSE,FALSE,TRUE
"331","Cdkl5","CDKL5",FALSE,FALSE,TRUE
"332","Acaa2","ACAA2",FALSE,FALSE,TRUE
"333","Zbed4","ZBED4",FALSE,FALSE,TRUE
"334","Pias2","PIAS2",FALSE,FALSE,TRUE
"335","Slc35c2","SLC35C2",FALSE,FALSE,TRUE
"336","Chm","CHM",FALSE,FALSE,TRUE
"337","Slc1a1","SLC1A1",FALSE,FALSE,TRUE
"338","Edem2","EDEM2",FALSE,FALSE,TRUE
"339","Usp16","USP16",FALSE,FALSE,TRUE
"340","Sox18","SOX18",FALSE,FALSE,TRUE
"341","Pcsk2","PCSK2",FALSE,FALSE,TRUE
"342","Mrap","MRAP",FALSE,FALSE,TRUE
"343","Cipc","CIPC",FALSE,FALSE,TRUE
"344","Rnf152","RNF152",FALSE,FALSE,TRUE
"345","Ggt7","GGT7",FALSE,FALSE,TRUE
"346","Akap5","AKAP5",FALSE,FALSE,TRUE
"347","Itih2","ITIH2",FALSE,FALSE,TRUE
"348","Pdcd1lg2","PDCD1LG2",FALSE,FALSE,TRUE
"349","Syt4","SYT4",FALSE,FALSE,TRUE
"350","Ada","ADA",FALSE,FALSE,TRUE
"351","Slc7a3","SLC7A3",FALSE,FALSE,TRUE
"352","Dsg4","DSG4",FALSE,FALSE,TRUE
"353","Atp5e","ATP5F1E",FALSE,FALSE,TRUE
"354","Dlg3","DLG3",FALSE,FALSE,TRUE
"355","Txlng","TXLNG",FALSE,FALSE,TRUE
"356","Gid8","GID8",FALSE,FALSE,TRUE
"357","Il2ra","IL2RA",FALSE,FALSE,TRUE
"358","Acox3","ACOX3",FALSE,FALSE,TRUE
"359","Zbtb33","ZBTB33",FALSE,FALSE,TRUE
"360","Fkbp3","FKBP3",FALSE,FALSE,TRUE
"361","Slitrk4","SLITRK4",FALSE,FALSE,TRUE
"362","Adrm1","ADRM1",TRUE,FALSE,FALSE
"363","Lrrc9","LRRC9",FALSE,FALSE,TRUE
"364","Adamts5","ADAMTS5",FALSE,FALSE,TRUE
"365","Runx1","RUNX1",FALSE,FALSE,TRUE
"366","Pds5a","PDS5A",FALSE,FALSE,TRUE
"367","Spo11","SPO11",FALSE,FALSE,TRUE
"368","Pir","PIR",FALSE,FALSE,TRUE
"369","Dynlt3","DYNLT3",FALSE,FALSE,TRUE
"370","Acss1","ACSS1",FALSE,FALSE,TRUE
"371","Dstn","DSTN",FALSE,FALSE,TRUE
"372","Zfp397","ZNF397",FALSE,FALSE,TRUE
"373","Pdxk","PDXK",FALSE,FALSE,TRUE
"374","Klf5","KLF5",FALSE,FALSE,TRUE
"375","Slc25a51","SLC25A52",FALSE,TRUE,FALSE
"376","Itgb2","ITGB2",TRUE,FALSE,FALSE
"377","Magee1","MAGEE1",FALSE,FALSE,TRUE
"378","Fam207a","SLX9",FALSE,FALSE,TRUE
"379","Aff2","AFF2",FALSE,FALSE,TRUE
"380","Tpgs2","TPGS2",FALSE,FALSE,TRUE
"381","Ss18","SS18",FALSE,FALSE,TRUE
"382","Cntln","CNTLN",FALSE,FALSE,TRUE
"383","Rnf4","RNF4",FALSE,FALSE,TRUE
"384","Ncoa3","NCOA3",FALSE,FALSE,TRUE
"385","Fam3b","FAM3B",FALSE,FALSE,TRUE
"386","Chgb","CHGB",FALSE,FALSE,TRUE
"387","Il13ra2","IL13RA2",FALSE,FALSE,TRUE
"388","Rnf125","RNF125",FALSE,FALSE,TRUE
"389","Cpz","CPZ",FALSE,FALSE,TRUE
"390","Rhoj","RHOJ",FALSE,FALSE,TRUE
"391","Ankrd12","ANKRD12",FALSE,FALSE,TRUE
"392","Tmem184b","TMEM184B",FALSE,FALSE,TRUE
"393","Mrps6","MRPS6",FALSE,FALSE,TRUE
"394","Atxn10","ATXN10",FALSE,FALSE,TRUE
"395","Mocos","MOCOS",FALSE,FALSE,TRUE
"396","Nol12","NOL12",FALSE,FALSE,TRUE
"397","Depdc5","DEPDC5",FALSE,FALSE,TRUE
"398","Haus6","HAUS6",FALSE,FALSE,TRUE
"399","Tbc1d4","TBC1D4",FALSE,FALSE,TRUE
"400","Bik","BIK",FALSE,FALSE,TRUE
"401","Lgals2","LGALS2",FALSE,FALSE,TRUE
"402","Kif3b","KIF3B",FALSE,FALSE,TRUE
"403","Rbm11","RBM11",FALSE,FALSE,TRUE
"404","Grpel1","GRPEL1",FALSE,FALSE,TRUE
"405","Pttg1","PTTG2",FALSE,TRUE,FALSE
"406","Ccdc117","CCDC117",FALSE,FALSE,TRUE
"407","Fam83f","FAM83F",FALSE,FALSE,TRUE
"408","Dnajc15","DNAJC15",FALSE,FALSE,TRUE
"409","Ripk4","RIPK4",FALSE,FALSE,TRUE
"410","Zc4h2","ZC4H2",FALSE,FALSE,TRUE
"411","Stx16","STX16",FALSE,TRUE,FALSE
"412","Stx16","STX16-NPEPL1",FALSE,TRUE,FALSE
"413","Rps6ka6","RPS6KA6",FALSE,FALSE,TRUE
"414","Bach1","BACH1",FALSE,FALSE,TRUE
"415","Pmaip1","PMAIP1",FALSE,FALSE,TRUE
"416","Acbd7","ACBD7",FALSE,FALSE,TRUE
"417","Txnl1","TXNL1",FALSE,FALSE,TRUE
"418","Smad2","SMAD2",FALSE,FALSE,TRUE
"419","Mis18bp1","MIS18BP1",FALSE,FALSE,TRUE
"420","Prr5","PRR5",FALSE,FALSE,TRUE
"421","Cbr3","CBR3",FALSE,FALSE,TRUE
"422","Hdx","HDX",FALSE,FALSE,TRUE
"423","Itgb2l","ITGB2",TRUE,FALSE,FALSE
"424","Hrh4","HRH4",FALSE,FALSE,TRUE
"425","Vbp1","VBP1",FALSE,FALSE,TRUE
"426","Kcns1","KCNS1",FALSE,FALSE,TRUE
"427","Poln","POLN",FALSE,FALSE,TRUE
"428","Cplx1","CPLX1",FALSE,FALSE,TRUE
"429","Smarca2","SMARCA2",FALSE,FALSE,TRUE
"430","Naa30","NAA30",FALSE,FALSE,TRUE
"431","Atp5o","ATP5PO",FALSE,TRUE,FALSE
"432","Oprl1","OPRL1",FALSE,FALSE,TRUE
"433","Tmem30b","TMEM30B",FALSE,FALSE,TRUE
"434","Agpat3","AGPAT3",FALSE,FALSE,TRUE
"435","Bmp7","BMP7",FALSE,FALSE,TRUE
"436","Slc25a17","SLC25A17",FALSE,FALSE,TRUE
"437","Cst3","CST3",TRUE,FALSE,FALSE
"438","Pbdc1","PBDC1",FALSE,FALSE,TRUE
"439","Col18a1","COL18A1",FALSE,FALSE,TRUE
"440","Gtpbp6","GTPBP6",FALSE,FALSE,TRUE
"441","Uqcc1","UQCC1",FALSE,FALSE,TRUE
"442","Tecpr2","TECPR2",FALSE,FALSE,TRUE
"443","Slc25a43","SLC25A43",FALSE,FALSE,TRUE
"444","Zfp518b","ZNF518B",FALSE,FALSE,TRUE
"445","Zbtb7c","ZBTB7C",FALSE,FALSE,TRUE
"446","Tmem33","TMEM33",FALSE,FALSE,TRUE
"447","Pik3ip1","PIK3IP1",FALSE,FALSE,TRUE
"448","Uspl1","USPL1",FALSE,FALSE,TRUE
"449","Colec12","COLEC12",FALSE,FALSE,TRUE
"450","Ppp6r2","PPP6R2",FALSE,FALSE,TRUE
"451","Kcnh5","KCNH5",FALSE,FALSE,TRUE
"452","Mapre2","MAPRE2",FALSE,FALSE,TRUE
"453","Gga1","GGA1",FALSE,FALSE,TRUE
"454","Ahcy","AHCY",TRUE,FALSE,FALSE
"455","Btg3","BTG3",FALSE,FALSE,TRUE
"456","Osbp2","OSBP2",FALSE,FALSE,TRUE
"457","Ppargc1a","PPARGC1A",FALSE,FALSE,TRUE
"458","Lingo2","LINGO2",FALSE,FALSE,TRUE
"459","Npc1","NPC1",FALSE,FALSE,TRUE
"460","Slain2","SLAIN2",FALSE,FALSE,TRUE
"461","Ywhab","YWHAB",FALSE,FALSE,TRUE
"462","Cst8","CST8",FALSE,FALSE,TRUE
